CountryCode,Language,IsOfficial
ZAF,English,TRUE
ZAF,Ndebele,FALSE
ZAF,Northsotho,FALSE
ZAF,Southsotho,FALSE
ZAF,Swazi,FALSE
ZAF,Tsonga,FALSE
ZAF,Tswana,FALSE
ZAF,Venda,FALSE
ZAF,Xhosa,TRUE
ZAF,Zulu,TRUE
ZMB,Bemba,FALSE
ZMB,Chewa,FALSE
ZMB,Lozi,FALSE
ZMB,Nsenga,FALSE
ZMB,Nyanja,FALSE
ZMB,Tongan,FALSE
ZWE,English,TRUE
ZWE,Ndebele,FALSE
ZWE,Nyanja,FALSE
ZWE,Shona,FALSE
